,AGENCY,AGENCY NAME,CLASS TITLE,ETHNICITY,GENDER,STATUS,HRS PER WK,MONTHLY,ANNUAL
165,103,100,739,5,0,7,40.0,8024.52,96294.24
166,103,100,670,5,1,7,40.0,4364.75,52377.0
167,103,100,412,5,1,8,20.0,1348.54,16182.48
168,103,100,668,3,0,7,40.0,3226.4,38716.8
169,103,100,213,5,0,7,40.0,5916.67,71000.04
170,103,100,111,5,0,7,40.0,5354.17,64250.04
171,103,100,1041,5,1,7,40.0,3241.67,38900.04
172,103,100,1041,5,0,7,40.0,3241.67,38900.04
173,103,100,739,5,1,7,40.0,8024.52,96294.24
174,103,100,1284,3,1,7,40.0,5857.17,70286.04
175,103,100,1250,3,0,7,40.0,10103.93,121247.16
176,103,100,1213,5,0,7,40.0,6566.73,78800.76
177,103,100,60,3,0,7,40.0,3994.58,47934.96
178,103,100,745,5,1,7,40.0,3767.0,45204.0
179,103,100,739,5,1,7,40.0,7889.71,94676.52
180,103,100,572,5,1,7,40.0,4730.37,56764.44
181,103,100,1250,5,0,7,40.0,9838.11,118057.32
182,103,100,60,3,1,7,40.0,3592.75,43113.0
183,103,100,413,5,1,7,40.0,3953.38,47440.56
184,103,100,742,5,1,7,40.0,4011.1,48133.2
185,103,100,130,5,1,7,40.0,7282.62,87391.44
186,103,100,1191,3,1,7,40.0,4466.0,53592.0
187,103,100,376,5,0,7,40.0,7666.67,92000.04
188,103,100,1223,5,1,7,40.0,5204.16,62449.92
189,103,100,628,5,0,7,40.0,3250.0,39000.0
190,103,100,40,5,0,7,40.0,5400.18,64802.16
191,103,100,353,5,1,7,40.0,4106.53,49278.36
192,103,100,765,3,1,7,40.0,6363.6,76363.2
193,103,100,999,1,1,7,40.0,6289.77,75477.24
194,103,100,748,1,0,7,40.0,5157.41,61888.92
195,103,100,1024,1,0,7,40.0,7333.33,87999.96
196,103,100,986,5,1,7,40.0,3982.29,47787.48
197,103,100,998,1,0,7,40.0,3948.54,47382.48
198,103,100,1167,1,0,7,40.0,4147.52,49770.24
199,103,100,1252,5,0,7,40.0,5078.38,60940.56
200,103,100,999,3,1,7,40.0,9515.01,114180.12
202,103,100,1080,2,1,7,40.0,3245.82,38949.84
203,103,100,367,5,0,7,40.0,7916.67,95000.04
204,103,100,1193,5,0,7,40.0,4879.53,58554.36
205,103,100,1356,5,0,7,40.0,4497.57,53970.84
206,103,100,1281,5,1,7,40.0,6083.34,73000.08
207,103,100,739,5,0,7,40.0,8075.21,96902.52
208,103,100,1104,2,0,8,25.0,1770.83,21249.96
209,103,100,1250,3,0,7,40.0,8731.34,104776.08
210,103,100,737,5,0,7,40.0,6517.81,78213.72
211,103,100,745,5,1,7,40.0,3700.0,44400.0
212,103,100,739,5,0,7,40.0,7889.71,94676.52
213,103,100,1024,5,1,7,40.0,7187.03,86244.36
214,103,100,1041,2,0,7,40.0,3241.67,38900.04
215,103,100,1092,5,0,7,40.0,6743.91,80926.92
216,103,100,748,5,1,7,40.0,5172.48,62069.76
217,103,100,996,5,1,7,40.0,8334.39,100012.68
218,103,100,1104,3,1,7,40.0,2833.34,34000.08
219,103,100,996,5,1,7,40.0,8273.09,99277.08
220,103,100,1416,5,0,7,40.0,4233.34,50800.08
221,103,100,670,2,1,7,40.0,4944.44,59333.28
222,103,100,749,3,0,7,40.0,14583.34,175000.08
223,103,100,47,2,0,7,40.0,4850.2,58202.4
224,103,100,1134,3,1,7,40.0,4608.34,55300.08
225,103,100,996,5,1,7,40.0,7996.84,95962.08
226,103,100,1136,5,0,7,40.0,3666.67,44000.04
227,103,100,1280,5,1,7,40.0,5510.87,66130.44
228,103,100,388,5,1,7,40.0,12500.0,150000.0
229,103,100,744,5,1,7,40.0,5379.42,64553.04
230,103,100,1282,5,1,7,40.0,9009.16,108109.92
231,103,100,709,3,0,7,40.0,5250.0,63000.0
232,103,100,275,5,0,7,40.0,4458.34,53500.08
233,103,100,670,5,1,7,40.0,5830.04,69960.48
234,103,100,1250,5,0,7,40.0,9813.1,117757.2
235,103,100,1250,5,0,7,40.0,9266.59,111199.08
236,103,100,743,5,0,7,40.0,4982.64,59791.68
237,103,100,835,5,1,7,40.0,6291.68,75500.16
238,103,100,73,5,0,7,40.0,9030.48,108365.76
239,103,100,1282,5,0,7,40.0,9634.01,115608.12
240,103,100,1245,5,0,7,40.0,5279.77,63357.24
242,103,100,376,5,1,7,40.0,8333.34,100000.08
243,103,100,1104,3,0,7,40.0,3217.01,38604.12
244,103,100,736,5,0,7,40.0,5938.26,71259.12
245,103,100,1235,5,1,7,40.0,5645.82,67749.84
246,103,100,1417,5,0,7,40.0,3291.66,39499.92
248,103,100,718,5,1,7,40.0,5416.29,64995.48
249,103,100,740,5,1,7,40.0,8207.28,98487.36
250,103,100,998,3,1,7,40.0,5249.99,62999.88
251,103,100,1230,3,1,7,40.0,3646.43,43757.16
252,103,100,1327,5,1,7,40.0,6048.17,72578.04
253,103,100,356,2,1,7,40.0,5333.0,63996.0
254,103,100,1030,5,0,7,40.0,8437.71,101252.52
255,103,100,893,2,1,7,40.0,4744.16,56929.92
256,103,100,1298,5,0,7,40.0,9416.08,112992.96
257,103,100,1278,5,1,7,40.0,7741.13,92893.56
258,103,100,412,3,0,7,40.0,2697.08,32364.96
259,103,100,996,3,1,7,40.0,7887.14,94645.68
260,103,100,1144,5,0,7,40.0,3583.33,42999.96
261,103,100,998,1,0,7,40.0,4816.56,57798.72
262,103,100,350,3,0,7,40.0,3232.5,38790.0
263,103,100,1092,5,0,7,40.0,7238.45,86861.4
264,103,100,736,3,1,7,40.0,5938.26,71259.12
265,103,100,1092,5,0,7,40.0,5355.79,64269.48
266,103,100,1224,5,0,7,40.0,5416.69,65000.28
267,103,100,1165,5,1,7,40.0,3617.57,43410.84
268,103,100,61,5,1,7,40.0,2836.67,34040.04
269,103,100,668,5,1,7,40.0,3499.99,41999.88
270,103,100,1242,3,0,7,40.0,10830.6,129967.2
271,103,100,1030,5,1,7,40.0,7768.5,93222.0
272,103,100,1024,1,0,7,40.0,6666.67,80000.04
273,103,100,1042,3,0,7,40.0,3453.97,41447.64
274,103,100,1195,5,1,7,40.0,6583.34,79000.08
275,103,100,1024,5,1,7,40.0,8107.87,97294.44
276,103,100,997,5,1,7,40.0,9825.22,117902.64
277,103,100,998,5,1,7,40.0,5979.77,71757.24
278,103,100,61,5,1,7,40.0,2833.34,34000.08
279,103,100,1328,2,0,7,40.0,5906.91,70882.92
280,103,100,746,5,1,7,40.0,4753.98,57047.76
281,103,100,971,5,0,7,40.0,5000.0,60000.0
282,103,100,412,5,0,8,20.0,1348.54,16182.48
283,103,100,736,5,1,7,40.0,5938.26,71259.12
284,103,100,736,5,1,7,40.0,5471.6,65659.2
285,103,100,1279,3,1,7,40.0,5267.85,63214.2
286,103,100,1081,3,0,7,40.0,3750.0,45000.0
287,103,100,261,2,0,7,40.0,6393.84,76726.08
288,103,100,999,5,1,7,40.0,6529.77,78357.24
289,103,100,352,5,1,7,40.0,3697.25,44367.0
290,103,100,1143,5,1,7,40.0,3666.67,44000.04
291,103,100,743,5,1,7,40.0,4983.07,59796.84
292,103,100,1030,5,1,7,40.0,7850.67,94208.04
294,103,100,985,5,1,7,40.0,2833.34,34000.08
295,103,100,1242,5,1,7,40.0,10871.75,130461.0
296,103,100,1030,5,1,7,40.0,5281.25,63375.0
297,103,100,1248,5,0,7,40.0,5299.26,63591.12
298,103,100,745,0,0,7,40.0,3633.33,43599.96
299,103,100,741,5,1,7,40.0,3753.08,45036.96
300,103,100,556,5,1,7,40.0,11250.0,135000.0
301,103,100,63,5,1,7,40.0,4588.1,55057.2
302,103,100,996,5,1,7,40.0,6843.63,82123.56
303,103,100,669,3,1,7,40.0,3832.5,45990.0
304,103,100,1024,5,1,7,40.0,7057.33,84687.96
305,103,100,573,3,1,7,40.0,3875.01,46500.12
306,103,100,1195,5,1,7,40.0,7616.66,91399.92
307,103,100,1354,5,0,7,40.0,4375.0,52500.0
308,103,100,1330,5,0,7,40.0,6761.6,81139.2
309,103,100,1189,5,0,7,40.0,4681.67,56180.04
310,103,100,376,5,0,7,40.0,10316.33,123795.96
311,103,100,1111,5,0,8,30.0,3131.25,37575.0
312,103,100,119,5,1,7,40.0,5905.17,70862.04
313,103,100,996,1,1,7,40.0,7983.95,95807.4
314,103,100,1024,5,1,7,40.0,7941.68,95300.16
315,103,100,1415,5,1,7,40.0,4662.66,55951.92
316,103,100,414,3,1,7,40.0,3977.13,47725.56
317,103,100,1166,5,0,7,40.0,4004.44,48053.28
319,103,100,668,3,1,7,40.0,3500.0,42000.0
320,103,100,744,5,1,7,40.0,5145.92,61751.04
321,103,100,667,5,1,7,40.0,5665.7,67988.4
322,103,100,1277,5,1,7,40.0,5770.26,69243.12
323,103,100,999,1,0,7,40.0,6106.68,73280.16
324,103,100,572,5,1,7,40.0,4491.67,53900.04
325,103,100,1165,5,1,7,40.0,3554.56,42654.72
326,103,100,1136,1,1,7,40.0,3750.0,45000.0
327,103,100,1025,5,1,7,40.0,8200.62,98407.44
328,103,100,1278,5,1,7,40.0,8365.44,100385.28
329,103,100,587,2,1,7,40.0,5687.4,68248.8
330,103,100,996,5,0,7,40.0,7909.49,94913.88
331,103,100,1144,5,1,7,40.0,3333.33,39999.96
332,103,100,1415,5,0,7,40.0,4305.42,51665.04
333,103,100,743,5,1,7,40.0,4355.68,52268.16
334,103,100,518,5,1,7,40.0,5042.8,60513.6
336,103,100,1250,5,1,7,40.0,10103.93,121247.16
337,103,100,1150,1,0,10,20.0,4690.75,56289.0
338,103,100,996,3,1,7,40.0,8688.97,104267.64
339,103,100,1276,1,1,7,40.0,5833.34,70000.08
341,103,100,1229,3,1,7,40.0,3600.0,43200.0
342,103,100,997,5,1,7,40.0,8667.22,104006.64
343,103,100,1195,5,0,7,40.0,6875.0,82500.0
344,103,100,1043,3,0,7,40.0,4395.53,52746.36
345,103,100,860,5,1,7,40.0,7109.0,85308.0
346,103,100,1282,5,1,7,40.0,9146.78,109761.36
347,103,100,1144,5,0,7,40.0,3333.34,40000.08
348,103,100,738,5,1,7,40.0,7167.77,86013.24
349,103,100,1246,5,1,7,40.0,5677.08,68124.96
350,103,100,1250,5,0,7,40.0,10290.93,123491.16
